@id,wd:Q9439,full_coverage
schema1:name{Literal}@tw,Queen Victoria,schema1:name{Literal}@tw
schema1:name{Literal}@uk,Вікторія,schema1:name{Literal}@uk
schema1:name{Literal}@ur,ملکہ وکٹوریہ,schema1:name{Literal}@ur
schema1:name{Literal}@uz,Viktoriya,schema1:name{Literal}@uz
schema1:name{Literal}@vi,Victoria của Anh,schema1:name{Literal}@vi
schema1:name{Literal}@vro,Kuninganna Victoria,schema1:name{Literal}@vro
schema1:name{Literal}@war,Victoria han Reino Unido,schema1:name{Literal}@war
schema1:name{Literal}@wuu,维多利亚女王,schema1:name{Literal}@wuu
schema1:name{Literal}@xmf,ვიქტორია,schema1:name{Literal}@xmf
schema1:name{Literal}@yi,קעניגין וויקטאריע,schema1:name{Literal}@yi
schema1:name{Literal}@yue,維多利亞女皇,schema1:name{Literal}@yue
schema1:name{Literal}@zea,Koningin Victoria,schema1:name{Literal}@zea
schema1:name{Literal}@zh,維多利亞女王,schema1:name{Literal}@zh
schema1:name{Literal}@zh-cn,维多利亚女王,schema1:name{Literal}@zh-cn
schema1:name{Literal}@zh-hans,维多利亚女王,schema1:name{Literal}@zh-hans
schema1:name{Literal}@zh-hant,維多利亞女王,schema1:name{Literal}@zh-hant
schema1:name{Literal}@zh-hk,維多利亞女皇,schema1:name{Literal}@zh-hk
schema1:name{Literal}@zh-mo,維多利亞女皇,schema1:name{Literal}@zh-mo
schema1:name{Literal}@zh-my,维多利亚女王,schema1:name{Literal}@zh-my
schema1:name{Literal}@zh-sg,维多利亚女王,schema1:name{Literal}@zh-sg
schema1:name{Literal}@zh-tw,維多利亞女王,schema1:name{Literal}@zh-tw
rdf:type{URIRef}[0],wikibase:Item,rdf:type{URIRef}[0]
rdfs:label{Literal}@en,Queen Victoria,rdfs:label{Literal}@en
rdfs:label{Literal}@af,Victoria van die Verenigde Koninkryk,rdfs:label{Literal}@af
rdfs:label{Literal}@am,ንግሥት ቪክቶሪያ,rdfs:label{Literal}@am
rdfs:label{Literal}@an,Vitoria d'o Reino Unito,rdfs:label{Literal}@an
rdfs:label{Literal}@ar,فيكتوريا ملكة المملكة المتحدة,rdfs:label{Literal}@ar
rdfs:label{Literal}@ary,لملكة ڤيكطوريا,rdfs:label{Literal}@ary
rdfs:label{Literal}@arz,فيكتوريا ملكة المملكه المتحده,rdfs:label{Literal}@arz
rdfs:label{Literal}@ast,Victoria del Reinu Xuníu,rdfs:label{Literal}@ast
rdfs:label{Literal}@az,I Viktoriya,rdfs:label{Literal}@az
rdfs:label{Literal}@azb,ویکتوریا خاتون,rdfs:label{Literal}@azb
rdfs:label{Literal}@ba,Виктория,rdfs:label{Literal}@ba
rdfs:label{Literal}@bcl,Queen Victoria,rdfs:label{Literal}@bcl
rdfs:label{Literal}@be,"Вікторыя, каралева брытанская",rdfs:label{Literal}@be
rdfs:label{Literal}@be-tarask,Вікторыя,rdfs:label{Literal}@be-tarask
rdfs:label{Literal}@bg,Виктория,rdfs:label{Literal}@bg
rdfs:label{Literal}@bho,रानी विक्टोरिया,rdfs:label{Literal}@bho
rdfs:label{Literal}@bn,রানি ভিক্টোরিয়া,rdfs:label{Literal}@bn
rdfs:label{Literal}@br,Victoria,rdfs:label{Literal}@br
rdfs:label{Literal}@bs,"Viktorija, kraljica Ujedinjenog Kraljevstva",rdfs:label{Literal}@bs
rdfs:label{Literal}@ca,Reina Victòria del Regne Unit,rdfs:label{Literal}@ca
rdfs:label{Literal}@cdo,Victoria Nṳ̄-uòng,rdfs:label{Literal}@cdo
rdfs:label{Literal}@ckb,ڤیکتۆریا,rdfs:label{Literal}@ckb
rdfs:label{Literal}@cs,Viktorie Britská,rdfs:label{Literal}@cs
rdfs:label{Literal}@cv,Виктория,rdfs:label{Literal}@cv
rdfs:label{Literal}@cy,"Victoria, brenhines y Deyrnas Unedig",rdfs:label{Literal}@cy
rdfs:label{Literal}@da,Victoria af Storbritannien,rdfs:label{Literal}@da
rdfs:label{Literal}@de,Victoria,rdfs:label{Literal}@de
rdfs:label{Literal}@de-ch,Victoria,rdfs:label{Literal}@de-ch
rdfs:label{Literal}@dty,महारानी भिक्टोरिया,rdfs:label{Literal}@dty
rdfs:label{Literal}@el,Βασίλισσα Βικτωρία,rdfs:label{Literal}@el
rdfs:label{Literal}@en-ca,Queen Victoria,rdfs:label{Literal}@en-ca
rdfs:label{Literal}@en-gb,Queen Victoria,rdfs:label{Literal}@en-gb
rdfs:label{Literal}@eo,Viktoria de Britio,rdfs:label{Literal}@eo
rdfs:label{Literal}@es,Victoria del Reino Unido,rdfs:label{Literal}@es
rdfs:label{Literal}@et,Victoria,rdfs:label{Literal}@et
rdfs:label{Literal}@eu,Viktoria Erresuma Batukoa,rdfs:label{Literal}@eu
rdfs:label{Literal}@fa,ویکتوریای پادشاهی متحده,rdfs:label{Literal}@fa
rdfs:label{Literal}@fi,Viktoria,rdfs:label{Literal}@fi
rdfs:label{Literal}@fo,Victoria drotning,rdfs:label{Literal}@fo
rdfs:label{Literal}@fr,Victoria,rdfs:label{Literal}@fr
rdfs:label{Literal}@frr,Victoria (Ferianigt Köningrik),rdfs:label{Literal}@frr
rdfs:label{Literal}@fy,Victoria fan it Feriene Keninkryk,rdfs:label{Literal}@fy
rdfs:label{Literal}@ga,Victoria na Ríochta Aontaithe,rdfs:label{Literal}@ga
rdfs:label{Literal}@gd,Ban-rìgh Bhictoria,rdfs:label{Literal}@gd
rdfs:label{Literal}@gl,Vitoria do Reino Unido,rdfs:label{Literal}@gl
rdfs:label{Literal}@gsw,"Victoria, Chenigi vu Großbritannien un Irland",rdfs:label{Literal}@gsw
rdfs:label{Literal}@hak,Vì-tô-li-â Ńg-vòng,rdfs:label{Literal}@hak
rdfs:label{Literal}@he,ויקטוריה,rdfs:label{Literal}@he
rdfs:label{Literal}@hi,विक्टोरिया,rdfs:label{Literal}@hi
rdfs:label{Literal}@hr,"Viktorija, kraljica Ujedinjenog Kraljevstva",rdfs:label{Literal}@hr
rdfs:label{Literal}@hu,Viktória brit királynő,rdfs:label{Literal}@hu
rdfs:label{Literal}@hy,Վիկտորյա թագուհի,rdfs:label{Literal}@hy
rdfs:label{Literal}@ia,Victoria del Regno Unite,rdfs:label{Literal}@ia
rdfs:label{Literal}@id,Victoria dari Britania Raya,rdfs:label{Literal}@id
rdfs:label{Literal}@io,Victoria,rdfs:label{Literal}@io
rdfs:label{Literal}@is,Viktoría Bretadrottning,rdfs:label{Literal}@is
rdfs:label{Literal}@it,Vittoria del Regno Unito,rdfs:label{Literal}@it
rdfs:label{Literal}@ja,ヴィクトリア (イギリス女王),rdfs:label{Literal}@ja
rdfs:label{Literal}@jv,Victoria saking Britania Raya,rdfs:label{Literal}@jv
rdfs:label{Literal}@ka,ვიქტორია,rdfs:label{Literal}@ka
rdfs:label{Literal}@kab,Tagellit Victoria,rdfs:label{Literal}@kab
rdfs:label{Literal}@kbp,Reine Victoria,rdfs:label{Literal}@kbp
rdfs:label{Literal}@kk,Виктория,rdfs:label{Literal}@kk
rdfs:label{Literal}@kn,ಯುನೈಟೆಡ್ ಕಿಂಗ್ಡಂನ ವಿಕ್ಟೋರಿಯಾ,rdfs:label{Literal}@kn
rdfs:label{Literal}@ko,빅토리아,rdfs:label{Literal}@ko
rdfs:label{Literal}@ku,Keybanû Victoria,rdfs:label{Literal}@ku
rdfs:label{Literal}@kw,Viktorya,rdfs:label{Literal}@kw
rdfs:label{Literal}@ky,Виктория,rdfs:label{Literal}@ky
rdfs:label{Literal}@la,Victoria,rdfs:label{Literal}@la
rdfs:label{Literal}@lb,Victoria vum Vereengte Kinnekräich,rdfs:label{Literal}@lb
rdfs:label{Literal}@lfn,Rea Victoria,rdfs:label{Literal}@lfn
rdfs:label{Literal}@lij,Vitöia d'Inghiltæra,rdfs:label{Literal}@lij
rdfs:label{Literal}@lmo,Vitoria del Regn Unii,rdfs:label{Literal}@lmo
rdfs:label{Literal}@lt,Viktorija,rdfs:label{Literal}@lt
rdfs:label{Literal}@lv,Viktorija,rdfs:label{Literal}@lv
rdfs:label{Literal}@lzh,英王維多利亞,rdfs:label{Literal}@lzh
rdfs:label{Literal}@mai,महारानी भिक्टोरिया,rdfs:label{Literal}@mai
rdfs:label{Literal}@mg,Victoria du Royaume-Uni,rdfs:label{Literal}@mg
rdfs:label{Literal}@mi,Wikitōria,rdfs:label{Literal}@mi
rdfs:label{Literal}@mk,Кралица Викторија,rdfs:label{Literal}@mk
rdfs:label{Literal}@ml,വിക്ടോറിയ രാജ്ഞി,rdfs:label{Literal}@ml
rdfs:label{Literal}@mn,Викториа,rdfs:label{Literal}@mn
rdfs:label{Literal}@mr,व्हिक्टोरिया राणी,rdfs:label{Literal}@mr
rdfs:label{Literal}@ms,Victoria dari United Kingdom,rdfs:label{Literal}@ms
rdfs:label{Literal}@my,ဝိတိုရိယ ဘုရင်မ,rdfs:label{Literal}@my
rdfs:label{Literal}@mzn,ملکه ویکتوریا,rdfs:label{Literal}@mzn
rdfs:label{Literal}@nan,Victoria (Liân-ha̍p Ông-kok),rdfs:label{Literal}@nan
rdfs:label{Literal}@nb,Victoria av Storbritannia,rdfs:label{Literal}@nb
rdfs:label{Literal}@nds,Victoria vun Grootbritannien,rdfs:label{Literal}@nds
rdfs:label{Literal}@ne,रानी भिक्टोरिया,rdfs:label{Literal}@ne
rdfs:label{Literal}@nl,Victoria van het Verenigd Koninkrijk,rdfs:label{Literal}@nl
rdfs:label{Literal}@nn,Victoria av Storbritannia,rdfs:label{Literal}@nn
rdfs:label{Literal}@nrm,Victoria du Rouoyaume Unni,rdfs:label{Literal}@nrm
rdfs:label{Literal}@oc,Victòria I dau Reiaume Unit,rdfs:label{Literal}@oc
rdfs:label{Literal}@pa,﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ,rdfs:label{Literal}@pa
rdfs:label{Literal}@pl,Wiktoria,rdfs:label{Literal}@pl
rdfs:label{Literal}@pms,Vitòria,rdfs:label{Literal}@pms
rdfs:label{Literal}@pnb,ملکہ وکٹوریہ,rdfs:label{Literal}@pnb
rdfs:label{Literal}@ps,ملکه وېکټوريا,rdfs:label{Literal}@ps
rdfs:label{Literal}@pt,Vitória do Reino Unido,rdfs:label{Literal}@pt
rdfs:label{Literal}@pt-br,Vitória do Reino Unido,rdfs:label{Literal}@pt-br
rdfs:label{Literal}@qu,Victoria,rdfs:label{Literal}@qu
rdfs:label{Literal}@ro,Victoria a Regatului Unit,rdfs:label{Literal}@ro
rdfs:label{Literal}@ru,Виктория,rdfs:label{Literal}@ru
rdfs:label{Literal}@rue,Виктория (Споене кральовство),rdfs:label{Literal}@rue
rdfs:label{Literal}@sa,विक्टोरिया,rdfs:label{Literal}@sa
rdfs:label{Literal}@scn,Vittoria dû Regnu Unitu,rdfs:label{Literal}@scn
rdfs:label{Literal}@sco,Queen Victoria,rdfs:label{Literal}@sco
rdfs:label{Literal}@sd,راڻي وڪٽوريا (برطانيا),rdfs:label{Literal}@sd
rdfs:label{Literal}@sgs,Vėktuorėjė (karalienė),rdfs:label{Literal}@sgs
rdfs:label{Literal}@sh,Viktorija,rdfs:label{Literal}@sh
rdfs:label{Literal}@si,වික්ටෝරියා රැජින - එක්සත් රාජධානිය,rdfs:label{Literal}@si
rdfs:label{Literal}@sk,Viktória,rdfs:label{Literal}@sk
rdfs:label{Literal}@sl,Viktorija Britanska,rdfs:label{Literal}@sl
rdfs:label{Literal}@sm,Masiofo Vitoria,rdfs:label{Literal}@sm
rdfs:label{Literal}@sq,Mbretëresha Victoria,rdfs:label{Literal}@sq
rdfs:label{Literal}@sr,Викторија Хановерска,rdfs:label{Literal}@sr
rdfs:label{Literal}@sv,Viktoria av Storbritannien,rdfs:label{Literal}@sv
rdfs:label{Literal}@sw,Viktoria wa Uingereza,rdfs:label{Literal}@sw
rdfs:label{Literal}@ta,ஐக்கிய இராச்சியத்தின் விக்டோரியா,rdfs:label{Literal}@ta
rdfs:label{Literal}@te,బ్రిటన్‌ రాణి విక్టోరియా,rdfs:label{Literal}@te
rdfs:label{Literal}@th,สมเด็จพระราชินีนาถวิกตอเรียแห่งสหราชอาณาจักร,rdfs:label{Literal}@th
rdfs:label{Literal}@tl,Victoria ng Nagkakaisang Kaharian,rdfs:label{Literal}@tl
