skos:note{URIRef}[16],ulan_rev:5505621402,skos:note{URIRef}[16]
skos:note{URIRef}[17],ulan_rev:5505621429,skos:note{URIRef}[17]
skos:note{URIRef}[18],ulan_rev:5505621430,skos:note{URIRef}[18]
skos:note{URIRef}[19],ulan_rev:5505621434,skos:note{URIRef}[19]
skos:note{URIRef}[20],ulan_rev:5505621456,skos:note{URIRef}[20]
skos:note{URIRef}[21],ulan_rev:5505621484,skos:note{URIRef}[21]
skos:note{URIRef}[22],ulan_rev:5505623218,skos:note{URIRef}[22]
skos:note{URIRef}[23],ulan_rev:5505631683,skos:note{URIRef}[23]
skos:note{URIRef}[24],ulan_rev:5506192576,skos:note{URIRef}[24]
skos:note{URIRef}[25],ulan_rev:5506192577,skos:note{URIRef}[25]
skos:note{URIRef}[26],ulan_rev:5506192578,skos:note{URIRef}[26]
skos:note{URIRef}[27],ulan_rev:5506192591,skos:note{URIRef}[27]
skos:note{URIRef}[28],ulan_rev:5506192592,skos:note{URIRef}[28]
skos:note{URIRef}[29],ulan_rev:5506192595,skos:note{URIRef}[29]
skos:note{URIRef}[30],ulan_rev:5506516135,skos:note{URIRef}[30]
skos:note{URIRef}[31],ulan_rev:5506766606,skos:note{URIRef}[31]
skos:note{URIRef}[32],ulan_rev:5506773155,skos:note{URIRef}[32]
skos:note{URIRef}[33],ulan_rev:5506773156,skos:note{URIRef}[33]
skos:note{URIRef}[34],ulan_rev:5506773158,skos:note{URIRef}[34]
skos:note{URIRef}[35],ulan_rev:5506773159,skos:note{URIRef}[35]
skos:note{URIRef}[36],ulan_rev:5506773160,skos:note{URIRef}[36]
skos:note{URIRef}[37],ulan_rev:5506773161,skos:note{URIRef}[37]
skos:note{URIRef}[38],ulan_rev:5506773162,skos:note{URIRef}[38]
skos:note{URIRef}[39],ulan_rev:5506773168,skos:note{URIRef}[39]
skos:note{URIRef}[40],ulan_rev:5506776606,skos:note{URIRef}[40]
skos:note{URIRef}[41],ulan_rev:5506776673,skos:note{URIRef}[41]
skos:note{URIRef}[42],ulan_rev:5506777207,skos:note{URIRef}[42]
skos:note{URIRef}[43],ulan_rev:5507490493,skos:note{URIRef}[43]
skos:note{URIRef}[44],ulan_rev:5507490494,skos:note{URIRef}[44]
skos:note{URIRef}[45],ulan_rev:5507490495,skos:note{URIRef}[45]
skos:note{URIRef}[46],ulan_rev:5507490496,skos:note{URIRef}[46]
skos:note{URIRef}[47],ulan_rev:5507490497,skos:note{URIRef}[47]
skos:note{URIRef}[48],ulan_rev:5507490498,skos:note{URIRef}[48]
skos:note{URIRef}[49],ulan_rev:5507490499,skos:note{URIRef}[49]
skos:note{URIRef}[50],ulan_rev:5507490567,skos:note{URIRef}[50]
skos:note{URIRef}[51],ulan_rev:5507490619,skos:note{URIRef}[51]
skos:note{URIRef}[52],ulan_rev:5507490640,skos:note{URIRef}[52]
skos:note{URIRef}[53],ulan_rev:5507490661,skos:note{URIRef}[53]
skos:note{URIRef}[54],ulan_scopeNote:120447,skos:note{URIRef}[54]
skos:prefLabel{Literal}@en,"Victoria, Queen of Great Britain",skos:prefLabel{Literal}@en
skos:related{URIRef}[0],ulan:500009430,skos:related{URIRef}[0]
skos:related{URIRef}[1],ulan:500009904,skos:related{URIRef}[1]
skos:related{URIRef}[2],ulan:500012476,skos:related{URIRef}[2]
skos:related{URIRef}[3],ulan:500012789,skos:related{URIRef}[3]
skos:related{URIRef}[4],ulan:500013694,skos:related{URIRef}[4]
skos:related{URIRef}[5],ulan:500022468,skos:related{URIRef}[5]
skos:related{URIRef}[6],ulan:500023438,skos:related{URIRef}[6]
skos:related{URIRef}[7],ulan:500072573,skos:related{URIRef}[7]
skos:related{URIRef}[8],ulan:500079358,skos:related{URIRef}[8]
skos:related{URIRef}[9],ulan:500087945,skos:related{URIRef}[9]
skos:related{URIRef}[10],ulan:500234768,skos:related{URIRef}[10]
skos:related{URIRef}[11],ulan:500249124,skos:related{URIRef}[11]
skos:related{URIRef}[12],ulan:500255967,skos:related{URIRef}[12]
skos:related{URIRef}[13],ulan:500279813,skos:related{URIRef}[13]
skos:related{URIRef}[14],ulan:500353655,skos:related{URIRef}[14]
skos:related{URIRef}[15],ulan:500373194,skos:related{URIRef}[15]
skos:related{URIRef}[16],ulan:500373195,skos:related{URIRef}[16]
skos:related{URIRef}[17],ulan:500373198,skos:related{URIRef}[17]
skos:scopeNote{URIRef},ulan_scopeNote:120447,skos:scopeNote{URIRef}
skosxl:altLabel{URIRef}[0],ulan_term:1500062164,skosxl:altLabel{URIRef}[0]
skosxl:altLabel{URIRef}[1],ulan_term:1500219754,skosxl:altLabel{URIRef}[1]
