@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
142,,N10a3f3792ffb4ca3869b1d949bd2b542,N10a3f3792ffb4ca3869b1d949bd2b542,,,
143,,N11ccd2961dc0429795071ee0382f9510,N11ccd2961dc0429795071ee0382f9510,,,
144,,N16f9dadd4ce34bd0913c9ea619484ef4,N16f9dadd4ce34bd0913c9ea619484ef4,,,
145,,N23e2ac4cdece456ba2edb432fac6ba0b,N23e2ac4cdece456ba2edb432fac6ba0b,,,
146,,N27fb5f6d958943258bf6e0fa8dde7adf,N27fb5f6d958943258bf6e0fa8dde7adf,,,
147,,N28fe0d458ab04144b2e58200c1be25a0,N28fe0d458ab04144b2e58200c1be25a0,,,
148,,N30ebacda87c84f2a8b4d4edc99fbffdf,N30ebacda87c84f2a8b4d4edc99fbffdf,,,
149,,N347a673bb92e4c60a8e772a8fe92d577,N347a673bb92e4c60a8e772a8fe92d577,,,
150,,N3788e4c36ef145878a8c3b034ec9f443,N3788e4c36ef145878a8c3b034ec9f443,,,
151,,N39fc4ed7e2fd4bc096bb234a33a86d9d,N39fc4ed7e2fd4bc096bb234a33a86d9d,,,
152,,N3ca29d86fcd640e68f6d794c9ec15aee,N3ca29d86fcd640e68f6d794c9ec15aee,,,
153,,N40a3054bee7b46ac988acde71daa527a,N40a3054bee7b46ac988acde71daa527a,,,
154,,N4389aad4e97c43bba053c801273b9e7e,N4389aad4e97c43bba053c801273b9e7e,,,
155,,N476ff8fa4302477187009d6c410eba96,N476ff8fa4302477187009d6c410eba96,,,
156,,N4a2820cb25d641ccbc0272237c1a5a17,N4a2820cb25d641ccbc0272237c1a5a17,,,
157,,N50fa5d65b9e7400c8f7146bcd02fe88d,N50fa5d65b9e7400c8f7146bcd02fe88d,,,
158,,N52928dfb4c8c49c0a07e7282c9cce89e,N52928dfb4c8c49c0a07e7282c9cce89e,,,
159,,N5336db63af8d4c3a9533281041d79263,N5336db63af8d4c3a9533281041d79263,,,
160,,N543ce7a8e5e140c38408e17f1b72cc5d,N543ce7a8e5e140c38408e17f1b72cc5d,,,
161,,N565e225887ae4bdd9cc3c7fb11f0f5aa,N565e225887ae4bdd9cc3c7fb11f0f5aa,,,
162,,N5834f6ab4b3c488881dae3d1259b3e3e,N5834f6ab4b3c488881dae3d1259b3e3e,,,
163,,N5b7d5488cb1c4274ac4debc17c7fcca0,N5b7d5488cb1c4274ac4debc17c7fcca0,,,
164,,N5e6cbc7208d34a7c82873093a9a4067c,N5e6cbc7208d34a7c82873093a9a4067c,,,
165,,N5ee8415792ce458987a834020f6bf0bc,N5ee8415792ce458987a834020f6bf0bc,,,
166,,N61ed2f8606404b8c8bf9c87aedc18610,N61ed2f8606404b8c8bf9c87aedc18610,,,
167,,N64bd3c0e181d43cdab05b4acab05002c,N64bd3c0e181d43cdab05b4acab05002c,,,
168,,N6b35f075f1db41dbb04b3756e5d0234b,N6b35f075f1db41dbb04b3756e5d0234b,,,
169,,N6d191386d2e04b7982494820157e4ae6,N6d191386d2e04b7982494820157e4ae6,,,
170,,N6dbd1f8bbb4d4eb993f760d4070c287e,N6dbd1f8bbb4d4eb993f760d4070c287e,,,
171,,N6e7ead71d9394d19937e898eaa5e6ed7,N6e7ead71d9394d19937e898eaa5e6ed7,,,
172,,N726cecd61b834248a83ca756fab7b37c,N726cecd61b834248a83ca756fab7b37c,,,
173,,N73a79ce7db324aeb970d275ef5a44f00,N73a79ce7db324aeb970d275ef5a44f00,,,
174,,N79e7691717d54152961ea5aa3f09917d,N79e7691717d54152961ea5aa3f09917d,,,
175,,N7def939c378a49b497b87ec04ad0d135,N7def939c378a49b497b87ec04ad0d135,,,
176,,N80a7ba994920474b8bc4486cfe0e2b84,N80a7ba994920474b8bc4486cfe0e2b84,,,
177,,N82a04d1c79d243bdb795d33baa7f44ad,N82a04d1c79d243bdb795d33baa7f44ad,,,
178,,N865f03b439f0432d9715afc65c834b4d,N865f03b439f0432d9715afc65c834b4d,,,
179,,N868a59a1e2704776b684131599e38c74,N868a59a1e2704776b684131599e38c74,,,
180,,N8b3dac47784a4fdd9e6062ee0dc852ee,N8b3dac47784a4fdd9e6062ee0dc852ee,,,
181,,N8da65897dd874ae3bba17878f16c161b,N8da65897dd874ae3bba17878f16c161b,,,
182,,N91d6d2dd6f4245d08a0830cae4a5ef80,N91d6d2dd6f4245d08a0830cae4a5ef80,,,
183,,N9334ecca5c0841fb8bb74c34a4aaee21,N9334ecca5c0841fb8bb74c34a4aaee21,,,
184,,N9971f366ce1b493d91ff51d044ca1944,N9971f366ce1b493d91ff51d044ca1944,,,
185,,N9a2558016a9c4ccc9fab1f9886233007,N9a2558016a9c4ccc9fab1f9886233007,,,
186,,N9b29a2d965d84c588b104d03c02f3c92,N9b29a2d965d84c588b104d03c02f3c92,,,
187,,N9ddde7a3af3a47fdb7ee31f35d55874b,N9ddde7a3af3a47fdb7ee31f35d55874b,,,
188,,N9fe9b1044de74b2888caff60566f58c0,N9fe9b1044de74b2888caff60566f58c0,,,
189,,Na1f3b8d4065a4ee9b6f623b93d38d8be,Na1f3b8d4065a4ee9b6f623b93d38d8be,,,
190,,Na69806affa174ca184e1c603d5ea3fc0,Na69806affa174ca184e1c603d5ea3fc0,,,
191,,Na7d05515f8ef460293e71d12904876ec,Na7d05515f8ef460293e71d12904876ec,,,
192,,Nac321bc66f8f43e485dea07cebec7525,Nac321bc66f8f43e485dea07cebec7525,,,
193,,Nad8e5b0834b342fcbe9a4fe3943a3a76,Nad8e5b0834b342fcbe9a4fe3943a3a76,,,
194,,Nb011434d181a4c88b2f9a2d75079124e,Nb011434d181a4c88b2f9a2d75079124e,,,
195,,Nb3a525b42c194aeebce4f49177b68a76,Nb3a525b42c194aeebce4f49177b68a76,,,
196,,Nb8cc746fac61491fb2d9404687502832,Nb8cc746fac61491fb2d9404687502832,,,
197,,Nba754bdd1afe492da1f93187401a4e9b,Nba754bdd1afe492da1f93187401a4e9b,,,
198,,Nbabbb624a64d4814bfd1bbf5f4635f82,Nbabbb624a64d4814bfd1bbf5f4635f82,,,
199,,Nbd7387feb23e4408aca79871ff914c8e,Nbd7387feb23e4408aca79871ff914c8e,,,
200,,Nbe2893f8f1b94c47b3bd66beedd3ceea,Nbe2893f8f1b94c47b3bd66beedd3ceea,,,
201,,Nc339ea9edc1741b29931370df0270aba,Nc339ea9edc1741b29931370df0270aba,,,
202,,Nc59c6ec4b5094658a81d857d31eb5d7e,Nc59c6ec4b5094658a81d857d31eb5d7e,,,
203,,Ncd5cb5a5c2c2450b847a9907fa269e25,Ncd5cb5a5c2c2450b847a9907fa269e25,,,
204,,Ncf99afd9f15e4713aeca3f71ebd99d1a,Ncf99afd9f15e4713aeca3f71ebd99d1a,,,
205,,Nd912db8ac8ab4774bd324a2d56b1843b,Nd912db8ac8ab4774bd324a2d56b1843b,,,
206,,Nda840ceabe2643ccbc8c36270fd3e795,Nda840ceabe2643ccbc8c36270fd3e795,,,
